source,frame,detect_id,type,score,x,y,w,h,point_00,point_00_x,point_00_y,point_01,point_01_x,point_01_y,point_02,point_02_x,point_02_y,point_03,point_03_x,point_03_y,point_04,point_04_x,point_04_y
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,1,0,FACE_0,0.999479353427887,182.41114807128906,64.15389251708984,127.51606750488281,179.07476806640625,point_00,216.02452087402344,131.32894897460938,point_01,276.30419921875,132.54080200195312,point_02,244.943115234375,167.04940795898438,point_03,221.29217529296875,198.10926818847656,point_04,269.2489929199219,198.9554443359375
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,2,0,FACE_0,0.999473512172699,182.5127410888672,64.02737426757812,127.54631042480469,179.2733154296875,point_00,216.03369140625,131.40618896484375,point_01,276.3331604003906,132.59071350097656,point_02,244.91343688964844,166.97206115722656,point_03,221.27877807617188,198.1224365234375,point_04,269.3642883300781,198.9469451904297
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,3,0,FACE_0,0.9994984865188599,182.7074432373047,64.36451721191406,127.31388854980469,179.11827087402344,point_00,216.2472686767578,131.29159545898438,point_01,276.4606628417969,132.3528289794922,point_02,245.2576446533203,166.85491943359375,point_03,221.67933654785156,198.24427795410156,point_04,269.5583190917969,198.96017456054688
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,4,0,FACE_0,0.9995150566101074,183.4752960205078,63.143348693847656,127.27543640136719,179.85623168945312,point_00,216.732666015625,131.39108276367188,point_01,277.1630859375,132.74111938476562,point_02,245.6256103515625,167.04150390625,point_03,221.9718475341797,198.07627868652344,point_04,269.7652893066406,199.05587768554688
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,5,0,FACE_0,0.9995051622390747,183.49124145507812,63.03593826293945,127.37631225585938,179.9796600341797,point_00,216.7358856201172,131.2869415283203,point_01,277.28704833984375,132.7924041748047,point_02,245.55946350097656,167.0347137451172,point_03,221.81365966796875,198.0595703125,point_04,269.6902160644531,199.17745971679688
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,6,0,FACE_0,0.9994906187057495,183.60304260253906,63.51930236816406,127.30842590332031,179.5405731201172,point_00,216.80355834960938,131.48269653320312,point_01,277.30029296875,133.13424682617188,point_02,245.43264770507812,167.1653289794922,point_03,221.60984802246094,198.05894470214844,point_04,269.6119689941406,199.30078125
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,7,0,FACE_0,0.9994414448738098,183.56756591796875,64.07600402832031,127.06668090820312,179.19168090820312,point_00,216.51870727539062,132.8401336669922,point_01,276.95330810546875,134.15443420410156,point_02,245.18893432617188,167.42372131347656,point_03,221.22918701171875,198.27810668945312,point_04,269.9564208984375,199.23468017578125
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,8,0,FACE_0,0.9994341731071472,183.6619110107422,64.23580169677734,126.90583801269531,178.9647216796875,point_00,216.6772918701172,133.08905029296875,point_01,277.0218505859375,134.44187927246094,point_02,245.35198974609375,167.44151306152344,point_03,221.3422088623047,198.25352478027344,point_04,269.9613342285156,199.23861694335938
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,9,0,FACE_0,0.9994691014289856,183.62948608398438,64.14432525634766,126.79080200195312,179.02236938476562,point_00,216.74331665039062,132.27236938476562,point_01,277.07904052734375,133.60015869140625,point_02,245.5458221435547,167.19093322753906,point_03,221.5983428955078,198.1954345703125,point_04,269.9901428222656,199.1561279296875
/mnt/FHWA_Data/WestDataChallenge/BucketsWithAction/Easy/T002_ActionsShorter_mini_8829_9061_Talk-non-cell.mp4,10,0,FACE_0,0.9994823932647705,183.65505981445312,63.313716888427734,127.08291625976562,180.00938415527344,point_00,216.97366333007812,131.4487762451172,point_01,277.5304260253906,133.02630615234375,point_02,245.85873413085938,167.01416015625,point_03,221.78746032714844,198.16421508789062,point_04,269.99249267578125,199.34507751464844
